generation  	alive.rpl   	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
181         	18          	1.321       	3.466e+05   	0.3144      	5.072e+04   	5.045e+04   	3.213e+04   	3.136e+04   	1.236e+04   	2.026e+04   
182         	18          	0.7778      	3.439e+05   	0.4001      	5.11e+04    	4.953e+04   	3.13e+04    	3.038e+04   	1.228e+04   	1.841e+04   
183         	18          	0.7778      	3.338e+05   	0.2281      	5.235e+04   	4.885e+04   	3.089e+04   	3.001e+04   	1.183e+04   	2.644e+04   
184         	18          	0.7191      	3.022e+05   	0.3518      	5.264e+04   	4.91e+04    	3.801e+04   	2.917e+04   	1.157e+04   	2.478e+04   
185         	18          	0.8302      	2.976e+05   	0.2903      	5.308e+04   	4.89e+04    	3.828e+04   	2.859e+04   	1.113e+04   	2.32e+04    
186         	18          	0.8889      	2.659e+05   	0.2814      	5.381e+04   	4.835e+04   	4.487e+04   	3.563e+04   	1.051e+04   	2.159e+04   
187         	18          	0.4228      	2.668e+05   	0.6318      	5.343e+04   	4.871e+04   	4.458e+04   	3.394e+04   	9605        	1.979e+04   
188         	18          	0.5062      	2.611e+05   	0.648       	5.385e+04   	4.903e+04   	4.346e+04   	3.268e+04   	8453        	1.789e+04   
189         	18          	0.5802      	2.499e+05   	0.6508      	5.388e+04   	4.792e+04   	4.184e+04   	3.112e+04   	7081        	1.554e+04   
190         	18          	0.5556      	2.635e+05   	0.304       	5.338e+04   	4.741e+04   	4.053e+04   	3.778e+04   	5638        	1.317e+04   
191         	18          	0.5556      	2.519e+05   	0.1695      	5.299e+04   	4.712e+04   	3.846e+04   	3.629e+04   	4086        	1.048e+04   
